team1,team2,winner,season,team1_seed,team2_seed
Villanova,New Mexico,Villanova,2005,5,12
Florida,Ohio,Florida,2005,4,13
Wisconsin,Northern Iowa,Wisconsin,2005,6,11
Kansas,Bucknell,Bucknell,2005,3,14
Charlotte,North Carolina State,North Carolina State,2005,7,10
Connecticut,Central Florida,Connecticut,2005,2,15
North Carolina,Iowa State,North Carolina,2005,1,9
Villanova,Florida,Villanova,2005,5,4
Wisconsin,Bucknell,Wisconsin,2005,6,14
North Carolina State,Connecticut,North Carolina State,2005,10,2
North Carolina,Villanova,North Carolina,2005,1,5
Wisconsin,North Carolina State,Wisconsin,2005,6,10
North Carolina,Wisconsin,North Carolina,2005,1,6
Washington,Montana,Washington,2005,1,16
Pacific,Pittsburgh,Pacific,2005,8,9
Georgia Tech,George Washington,Georgia Tech,2005,5,12
Louisville,Louisiana,Louisville,2005,4,13
Texas Tech,UCLA,Texas Tech,2005,6,11
Gonzaga,Winthrop,Gonzaga,2005,3,14
West Virginia,Creighton,West Virginia,2005,7,10
Wake Forest,Chattanooga,Wake Forest,2005,2,15
Washington,Pacific,Washington,2005,1,8
Georgia Tech,Louisville,Louisville,2005,5,4
Texas Tech,Gonzaga,Texas Tech,2005,6,3
West Virginia,Wake Forest,West Virginia,2005,7,2
Washington,Louisville,Louisville,2005,1,4
Texas Tech,West Virginia,West Virginia,2005,6,7
Louisville,West Virginia,Louisville,2005,4,7
Duke,Delaware State,Duke,2005,1,16
Stanford,Mississippi State,Mississippi State,2005,8,9
Michigan State,Old Dominion,Michigan State,2005,5,12
Syracuse,Vermont,Vermont,2005,4,13
Utah,Texas-El Paso,Utah,2005,6,11
Oklahoma,Niagara,Oklahoma,2005,3,14
Cincinnati,Iowa,Cincinnati,2005,7,10
Kentucky,Eastern Kentucky,Kentucky,2005,2,15
Duke,Mississippi State,Duke,2005,1,9
Michigan State,Vermont,Michigan State,2005,5,13
Utah,Oklahoma,Utah,2005,6,3
Cincinnati,Kentucky,Kentucky,2005,7,2
Duke,Michigan State,Michigan State,2005,1,5
Utah,Kentucky,Kentucky,2005,6,2
Michigan State,Kentucky,Michigan State,2005,5,2
Illinois,Fairleigh Dickinson,Illinois,2005,1,16
Texas,Nevada,Nevada,2005,8,9
Alabama,Milwaukee,Milwaukee,2005,5,12
Boston College,Pennsylvania,Boston College,2005,4,13
Louisiana State,Alabama-Birmingham,Alabama-Birmingham,2005,6,11
Arizona,Utah State,Arizona,2005,3,14
Southern Illinois,Saint Mary's (CA),Southern Illinois,2005,7,10
Oklahoma State,Southeastern Louisiana,Oklahoma State,2005,2,15
Illinois,Nevada,Illinois,2005,1,9
Milwaukee,Boston College,Milwaukee,2005,12,4
Alabama-Birmingham,Arizona,Arizona,2005,11,3
Southern Illinois,Oklahoma State,Oklahoma State,2005,7,2
Illinois,Milwaukee,Illinois,2005,1,12
Arizona,Oklahoma State,Arizona,2005,3,2
Illinois,Arizona,Illinois,2005,1,3
North Carolina,Michigan State,North Carolina,2005,1,5
Louisville,Illinois,Illinois,2005,4,1
North Carolina,Illinois,North Carolina,2005,1,1
Villanova,Monmouth,Villanova,2006,1,16
Arizona,Wisconsin,Arizona,2006,8,9
Nevada,Montana,Montana,2006,5,12
Boston College,Pacific,Boston College,2006,4,13
Oklahoma,Milwaukee,Milwaukee,2006,6,11
Florida,South Alabama,Florida,2006,3,14
Georgetown,Northern Iowa,Georgetown,2006,7,10
Ohio State,Davidson,Ohio State,2006,2,15
Villanova,Arizona,Villanova,2006,1,8
Montana,Boston College,Boston College,2006,12,4
Milwaukee,Florida,Florida,2006,11,3
Georgetown,Ohio State,Georgetown,2006,7,2
Villanova,Boston College,Villanova,2006,1,4
Florida,Georgetown,Florida,2006,3,7
Villanova,Florida,Florida,2006,1,3
Duke,Southern,Duke,2006,1,16
George Washington,North Carolina-Wilmington,George Washington,2006,8,9
Syracuse,Texas A&M,Texas A&M,2006,5,12
Louisiana State,Iona,Louisiana State,2006,4,13
West Virginia,Southern Illinois,West Virginia,2006,6,11
Iowa,Northwestern State,Northwestern State,2006,3,14
University of California,North Carolina State,North Carolina State,2006,7,10
Texas,Pennsylvania,Texas,2006,2,15
Duke,George Washington,Duke,2006,1,8
Texas A&M,Louisiana State,Louisiana State,2006,12,4
West Virginia,Northwestern State,West Virginia,2006,6,14
North Carolina State,Texas,Texas,2006,10,2
Duke,Louisiana State,Louisiana State,2006,1,4
West Virginia,Texas,Texas,2006,6,2
Louisiana State,Texas,Louisiana State,2006,4,2
Memphis,Oral Roberts,Memphis,2006,1,16
Arkansas,Bucknell,Bucknell,2006,8,9
Pittsburgh,Kent State,Pittsburgh,2006,5,12
Kansas,Bradley,Bradley,2006,4,13
Indiana,San Diego State,Indiana,2006,6,11
Gonzaga,Xavier,Gonzaga,2006,3,14
Marquette,Alabama,Alabama,2006,7,10
UCLA,Belmont,UCLA,2006,2,15
Memphis,Bucknell,Memphis,2006,1,9
Pittsburgh,Bradley,Bradley,2006,5,13
Indiana,Gonzaga,Gonzaga,2006,6,3
Alabama,UCLA,UCLA,2006,10,2
Memphis,Bradley,Memphis,2006,1,13
Gonzaga,UCLA,UCLA,2006,3,2
Memphis,UCLA,UCLA,2006,1,2
Connecticut,Albany (NY),Connecticut,2006,1,16
Kentucky,Alabama-Birmingham,Kentucky,2006,8,9
Washington,Utah State,Washington,2006,5,12
Illinois,Air Force,Illinois,2006,4,13
Michigan State,George Mason,George Mason,2006,6,11
North Carolina,Murray State,North Carolina,2006,3,14
Wichita State,Seton Hall,Wichita State,2006,7,10
Tennessee,Winthrop,Tennessee,2006,2,15
Connecticut,Kentucky,Connecticut,2006,1,8
Washington,Illinois,Washington,2006,5,4
George Mason,North Carolina,George Mason,2006,11,3
Wichita State,Tennessee,Wichita State,2006,7,2
Connecticut,Washington,Connecticut,2006,1,5
George Mason,Wichita State,George Mason,2006,11,7
Connecticut,George Mason,George Mason,2006,1,11
Florida,George Mason,Florida,2006,3,11
Louisiana State,UCLA,UCLA,2006,4,2
Florida,UCLA,Florida,2006,3,2
Kansas,Niagara,Kansas,2007,1,16
Kentucky,Villanova,Kentucky,2007,8,9
Virginia Tech,Illinois,Virginia Tech,2007,5,12
Southern Illinois,Holy Cross,Southern Illinois,2007,4,13
Duke,Virginia Commonwealth,Virginia Commonwealth,2007,6,11
Pittsburgh,Wright State,Pittsburgh,2007,3,14
Indiana,Gonzaga,Indiana,2007,7,10
UCLA,Weber State,UCLA,2007,2,15
Kansas,Kentucky,Kansas,2007,1,8
Virginia Tech,Southern Illinois,Southern Illinois,2007,5,4
Virginia Commonwealth,Pittsburgh,Pittsburgh,2007,11,3
Indiana,UCLA,UCLA,2007,7,2
Kansas,Southern Illinois,Kansas,2007,1,4
Pittsburgh,UCLA,UCLA,2007,3,2
Kansas,UCLA,UCLA,2007,1,2
North Carolina,Eastern Kentucky,North Carolina,2007,1,16
Marquette,Michigan State,Michigan State,2007,8,9
Southern California,Arkansas,Southern California,2007,5,12
Texas,New Mexico State,Texas,2007,4,13
Vanderbilt,George Washington,Vanderbilt,2007,6,11
Washington State,Oral Roberts,Washington State,2007,3,14
Boston College,Texas Tech,Boston College,2007,7,10
Georgetown,Belmont,Georgetown,2007,2,15
North Carolina,Michigan State,North Carolina,2007,1,9
Southern California,Texas,Southern California,2007,5,4
Vanderbilt,Washington State,Vanderbilt,2007,6,3
Boston College,Georgetown,Georgetown,2007,7,2
North Carolina,Southern California,North Carolina,2007,1,5
Vanderbilt,Georgetown,Georgetown,2007,6,2
North Carolina,Georgetown,Georgetown,2007,1,2
Florida,Jackson State,Florida,2007,1,16
Arizona,Purdue,Purdue,2007,8,9
Butler,Old Dominion,Butler,2007,5,12
Maryland,Davidson,Maryland,2007,4,13
Notre Dame,Winthrop,Winthrop,2007,6,11
Oregon,Miami (OH),Oregon,2007,3,14
Nevada-Las Vegas,Georgia Tech,Nevada-Las Vegas,2007,7,10
Wisconsin,Texas A&M-Corpus Christi,Wisconsin,2007,2,15
Florida,Purdue,Florida,2007,1,9
Butler,Maryland,Butler,2007,5,4
Winthrop,Oregon,Oregon,2007,11,3
Nevada-Las Vegas,Wisconsin,Nevada-Las Vegas,2007,7,2
Florida,Butler,Florida,2007,1,5
Oregon,Nevada-Las Vegas,Oregon,2007,3,7
Florida,Oregon,Florida,2007,1,3
Ohio State,Central Connecticut State,Ohio State,2007,1,16
Brigham Young,Xavier,Xavier,2007,8,9
Tennessee,Long Beach State,Tennessee,2007,5,12
Virginia,Albany (NY),Virginia,2007,4,13
Louisville,Stanford,Louisville,2007,6,11
Texas A&M,Pennsylvania,Texas A&M,2007,3,14
Nevada,Creighton,Nevada,2007,7,10
Memphis,North Texas,Memphis,2007,2,15
Ohio State,Xavier,Ohio State,2007,1,9
Tennessee,Virginia,Tennessee,2007,5,4
Louisville,Texas A&M,Texas A&M,2007,6,3
Nevada,Memphis,Memphis,2007,7,2
Ohio State,Tennessee,Ohio State,2007,1,5
Texas A&M,Memphis,Memphis,2007,3,2
Ohio State,Memphis,Ohio State,2007,1,2
Florida,UCLA,Florida,2007,1,2
Georgetown,Ohio State,Ohio State,2007,2,1
Florida,Ohio State,Florida,2007,1,1
North Carolina,Mount St. Mary's,North Carolina,2008,1,16
Indiana,Arkansas,Arkansas,2008,8,9
Notre Dame,George Mason,Notre Dame,2008,5,12
Washington State,Winthrop,Washington State,2008,4,13
Oklahoma,Saint Joseph's,Oklahoma,2008,6,11
Louisville,Boise State,Louisville,2008,3,14
Butler,South Alabama,Butler,2008,7,10
Tennessee,American,Tennessee,2008,2,15
North Carolina,Arkansas,North Carolina,2008,1,9
Notre Dame,Washington State,Washington State,2008,5,4
Oklahoma,Louisville,Louisville,2008,6,3
Butler,Tennessee,Tennessee,2008,7,2
North Carolina,Washington State,North Carolina,2008,1,4
Louisville,Tennessee,Louisville,2008,3,2
North Carolina,Louisville,North Carolina,2008,1,3
Kansas,Portland State,Kansas,2008,1,16
Nevada-Las Vegas,Kent State,Nevada-Las Vegas,2008,8,9
Clemson,Villanova,Villanova,2008,5,12
Vanderbilt,Siena,Siena,2008,4,13
Southern California,Kansas State,Kansas State,2008,6,11
Wisconsin,Cal State Fullerton,Wisconsin,2008,3,14
Gonzaga,Davidson,Davidson,2008,7,10
Georgetown,Maryland-Baltimore County,Georgetown,2008,2,15
Kansas,Nevada-Las Vegas,Kansas,2008,1,8
Villanova,Siena,Villanova,2008,12,13
Kansas State,Wisconsin,Wisconsin,2008,11,3
Davidson,Georgetown,Davidson,2008,10,2
Kansas,Villanova,Kansas,2008,1,12
Wisconsin,Davidson,Davidson,2008,3,10
Kansas,Davidson,Kansas,2008,1,10
Memphis,Texas-Arlington,Memphis,2008,1,16
Mississippi State,Oregon,Mississippi State,2008,8,9
Michigan State,Temple,Michigan State,2008,5,12
Pittsburgh,Oral Roberts,Pittsburgh,2008,4,13
Marquette,Kentucky,Marquette,2008,6,11
Stanford,Cornell,Stanford,2008,3,14
Miami (FL),Saint Mary's (CA),Miami (FL),2008,7,10
Texas,Austin Peay,Texas,2008,2,15
Memphis,Mississippi State,Memphis,2008,1,8
Michigan State,Pittsburgh,Michigan State,2008,5,4
Marquette,Stanford,Stanford,2008,6,3
Miami (FL),Texas,Texas,2008,7,2
Memphis,Michigan State,Memphis,2008,1,5
Stanford,Texas,Texas,2008,3,2
Memphis,Texas,Memphis,2008,1,2
UCLA,Mississippi Valley State,UCLA,2008,1,16
Brigham Young,Texas A&M,Texas A&M,2008,8,9
Drake,Western Kentucky,Western Kentucky,2008,5,12
Connecticut,San Diego,San Diego,2008,4,13
Purdue,Baylor,Purdue,2008,6,11
Xavier,Georgia,Xavier,2008,3,14
West Virginia,Arizona,West Virginia,2008,7,10
Duke,Belmont,Duke,2008,2,15
UCLA,Texas A&M,UCLA,2008,1,9
Western Kentucky,San Diego,Western Kentucky,2008,12,13
Purdue,Xavier,Xavier,2008,6,3
West Virginia,Duke,West Virginia,2008,7,2
UCLA,Western Kentucky,UCLA,2008,1,12
Xavier,West Virginia,Xavier,2008,3,7
UCLA,Xavier,UCLA,2008,1,3
Kansas,North Carolina,Kansas,2008,1,1
UCLA,Memphis,Memphis,2008,1,1
Kansas,Memphis,Kansas,2008,1,1
Louisville,Morehead State,Louisville,2009,1,16
Ohio State,Siena,Siena,2009,8,9
Utah,Arizona,Arizona,2009,5,12
Wake Forest,Cleveland State,Cleveland State,2009,4,13
West Virginia,Dayton,Dayton,2009,6,11
Kansas,North Dakota State,Kansas,2009,3,14
Boston College,Southern California,Southern California,2009,7,10
Michigan State,Robert Morris,Michigan State,2009,2,15
Louisville,Siena,Louisville,2009,1,9
Arizona,Cleveland State,Arizona,2009,12,13
Dayton,Kansas,Kansas,2009,11,3
Southern California,Michigan State,Michigan State,2009,10,2
Louisville,Arizona,Louisville,2009,1,12
Kansas,Michigan State,Michigan State,2009,3,2
Louisville,Michigan State,Michigan State,2009,1,2
Pittsburgh,East Tennessee State,Pittsburgh,2009,1,16
Oklahoma State,Tennessee,Oklahoma State,2009,8,9
Florida State,Wisconsin,Wisconsin,2009,5,12
Xavier,Portland State,Xavier,2009,4,13
UCLA,Virginia Commonwealth,UCLA,2009,6,11
Villanova,American,Villanova,2009,3,14
Texas,Minnesota,Texas,2009,7,10
Duke,Binghamton,Duke,2009,2,15
Pittsburgh,Oklahoma State,Pittsburgh,2009,1,8
Wisconsin,Xavier,Xavier,2009,12,4
UCLA,Villanova,Villanova,2009,6,3
Texas,Duke,Duke,2009,7,2
Pittsburgh,Xavier,Pittsburgh,2009,1,4
Villanova,Duke,Villanova,2009,3,2
Pittsburgh,Villanova,Villanova,2009,1,3
North Carolina,Radford,North Carolina,2009,1,16
Louisiana State,Butler,Louisiana State,2009,8,9
Illinois,Western Kentucky,Western Kentucky,2009,5,12
Gonzaga,Akron,Gonzaga,2009,4,13
Arizona State,Temple,Arizona State,2009,6,11
Syracuse,Stephen F. Austin,Syracuse,2009,3,14
Clemson,Michigan,Michigan,2009,7,10
Oklahoma,Morgan State,Oklahoma,2009,2,15
North Carolina,Louisiana State,North Carolina,2009,1,8
Western Kentucky,Gonzaga,Gonzaga,2009,12,4
Arizona State,Syracuse,Syracuse,2009,6,3
Michigan,Oklahoma,Oklahoma,2009,10,2
North Carolina,Gonzaga,North Carolina,2009,1,4
Syracuse,Oklahoma,Oklahoma,2009,3,2
North Carolina,Oklahoma,North Carolina,2009,1,2
Connecticut,Chattanooga,Connecticut,2009,1,16
Brigham Young,Texas A&M,Texas A&M,2009,8,9
Purdue,Northern Iowa,Purdue,2009,5,12
Washington,Mississippi State,Washington,2009,4,13
Marquette,Utah State,Marquette,2009,6,11
Missouri,Cornell,Missouri,2009,3,14
University of California,Maryland,Maryland,2009,7,10
Memphis,Cal State Northridge,Memphis,2009,2,15
Connecticut,Texas A&M,Connecticut,2009,1,9
Purdue,Washington,Purdue,2009,5,4
Marquette,Missouri,Missouri,2009,6,3
Maryland,Memphis,Memphis,2009,10,2
Connecticut,Purdue,Connecticut,2009,1,5
Missouri,Memphis,Missouri,2009,3,2
Connecticut,Missouri,Connecticut,2009,1,3
North Carolina,Villanova,North Carolina,2009,1,3
Connecticut,Michigan State,Michigan State,2009,1,2
North Carolina,Michigan State,North Carolina,2009,1,2
Duke,Arkansas-Pine Bluff,Duke,2010,1,16
University of California,Louisville,University of California,2010,8,9
Texas A&M,Utah State,Texas A&M,2010,5,12
Purdue,Siena,Purdue,2010,4,13
Notre Dame,Old Dominion,Old Dominion,2010,6,11
Baylor,Sam Houston State,Baylor,2010,3,14
Richmond,Saint Mary's (CA),Saint Mary's (CA),2010,7,10
Villanova,Robert Morris,Villanova,2010,2,15
Duke,University of California,Duke,2010,1,8
Texas A&M,Purdue,Purdue,2010,5,4
Old Dominion,Baylor,Baylor,2010,11,3
Saint Mary's (CA),Villanova,Saint Mary's (CA),2010,10,2
Duke,Purdue,Duke,2010,1,4
Baylor,Saint Mary's (CA),Baylor,2010,3,10
Duke,Baylor,Duke,2010,1,3
Kentucky,East Tennessee State,Kentucky,2010,1,16
Texas,Wake Forest,Wake Forest,2010,8,9
Temple,Cornell,Cornell,2010,5,12
Wisconsin,Wofford,Wisconsin,2010,4,13
Marquette,Washington,Washington,2010,6,11
New Mexico,Montana,New Mexico,2010,3,14
Clemson,Missouri,Missouri,2010,7,10
West Virginia,Morgan State,West Virginia,2010,2,15
Kentucky,Wake Forest,Kentucky,2010,1,9
Cornell,Wisconsin,Cornell,2010,12,4
Washington,New Mexico,Washington,2010,11,3
Missouri,West Virginia,West Virginia,2010,10,2
Kentucky,Cornell,Kentucky,2010,1,12
Washington,West Virginia,West Virginia,2010,11,2
Kentucky,West Virginia,West Virginia,2010,1,2
Kansas,Lehigh,Kansas,2010,1,16
Nevada-Las Vegas,Northern Iowa,Northern Iowa,2010,8,9
Michigan State,New Mexico State,Michigan State,2010,5,12
Maryland,Houston,Maryland,2010,4,13
Tennessee,San Diego State,Tennessee,2010,6,11
Georgetown,Ohio,Ohio,2010,3,14
Oklahoma State,Georgia Tech,Georgia Tech,2010,7,10
Ohio State,UC-Santa Barbara,Ohio State,2010,2,15
Kansas,Northern Iowa,Northern Iowa,2010,1,9
Michigan State,Maryland,Michigan State,2010,5,4
Tennessee,Ohio,Tennessee,2010,6,14
Georgia Tech,Ohio State,Ohio State,2010,10,2
Northern Iowa,Michigan State,Michigan State,2010,9,5
Tennessee,Ohio State,Tennessee,2010,6,2
Michigan State,Tennessee,Michigan State,2010,5,6
Syracuse,Vermont,Syracuse,2010,1,16
Gonzaga,Florida State,Gonzaga,2010,8,9
Butler,Texas-El Paso,Butler,2010,5,12
Vanderbilt,Murray State,Murray State,2010,4,13
Xavier,Minnesota,Xavier,2010,6,11
Pittsburgh,Oakland,Pittsburgh,2010,3,14
Brigham Young,Florida,Brigham Young,2010,7,10
Kansas State,North Texas,Kansas State,2010,2,15
Syracuse,Gonzaga,Syracuse,2010,1,8
Butler,Murray State,Butler,2010,5,13
Xavier,Pittsburgh,Xavier,2010,6,3
Brigham Young,Kansas State,Kansas State,2010,7,2
Syracuse,Butler,Butler,2010,1,5
Xavier,Kansas State,Kansas State,2010,6,2
Butler,Kansas State,Butler,2010,5,2
Duke,West Virginia,Duke,2010,1,2
Michigan State,Butler,Butler,2010,5,5
Duke,Butler,Duke,2010,1,5
Ohio State,Texas-San Antonio,Ohio State,2011,1,16
George Mason,Villanova,George Mason,2011,8,9
West Virginia,Clemson,West Virginia,2011,5,12
Kentucky,Princeton,Kentucky,2011,4,13
Xavier,Marquette,Marquette,2011,6,11
Syracuse,Indiana State,Syracuse,2011,3,14
Washington,Georgia,Washington,2011,7,10
North Carolina,Long Island University,North Carolina,2011,2,15
Ohio State,George Mason,Ohio State,2011,1,8
West Virginia,Kentucky,Kentucky,2011,5,4
Marquette,Syracuse,Marquette,2011,11,3
Washington,North Carolina,North Carolina,2011,7,2
Ohio State,Kentucky,Kentucky,2011,1,4
Marquette,North Carolina,North Carolina,2011,11,2
Kentucky,North Carolina,Kentucky,2011,4,2
Pittsburgh,North Carolina-Asheville,Pittsburgh,2011,1,16
Butler,Old Dominion,Butler,2011,8,9
Kansas State,Utah State,Kansas State,2011,5,12
Wisconsin,Belmont,Wisconsin,2011,4,13
St. John's (NY),Gonzaga,Gonzaga,2011,6,11
Brigham Young,Wofford,Brigham Young,2011,3,14
UCLA,Michigan State,UCLA,2011,7,10
Florida,UC-Santa Barbara,Florida,2011,2,15
Pittsburgh,Butler,Butler,2011,1,8
Kansas State,Wisconsin,Wisconsin,2011,5,4
Gonzaga,Brigham Young,Brigham Young,2011,11,3
UCLA,Florida,Florida,2011,7,2
Butler,Wisconsin,Butler,2011,8,4
Brigham Young,Florida,Florida,2011,3,2
Butler,Florida,Butler,2011,8,2
Kansas,Boston University,Kansas,2011,1,16
Nevada-Las Vegas,Illinois,Illinois,2011,8,9
Vanderbilt,Richmond,Richmond,2011,5,12
Louisville,Morehead State,Morehead State,2011,4,13
Georgetown,Virginia Commonwealth,Virginia Commonwealth,2011,6,11
Purdue,Saint Peter's,Purdue,2011,3,14
Texas A&M,Florida State,Florida State,2011,7,10
Notre Dame,Akron,Notre Dame,2011,2,15
Kansas,Illinois,Kansas,2011,1,9
Richmond,Morehead State,Richmond,2011,12,13
Virginia Commonwealth,Purdue,Virginia Commonwealth,2011,11,3
Florida State,Notre Dame,Florida State,2011,10,2
Kansas,Richmond,Kansas,2011,1,12
Virginia Commonwealth,Florida State,Virginia Commonwealth,2011,11,10
Kansas,Virginia Commonwealth,Virginia Commonwealth,2011,1,11
Duke,Hampton,Duke,2011,1,16
Michigan,Tennessee,Michigan,2011,8,9
Arizona,Memphis,Arizona,2011,5,12
Texas,Oakland,Texas,2011,4,13
Cincinnati,Missouri,Cincinnati,2011,6,11
Connecticut,Bucknell,Connecticut,2011,3,14
Temple,Penn State,Temple,2011,7,10
San Diego State,Northern Colorado,San Diego State,2011,2,15
Duke,Michigan,Duke,2011,1,8
Arizona,Texas,Arizona,2011,5,4
Cincinnati,Connecticut,Connecticut,2011,6,3
Temple,San Diego State,San Diego State,2011,7,2
Duke,Arizona,Arizona,2011,1,5
Connecticut,San Diego State,Connecticut,2011,3,2
Arizona,Connecticut,Connecticut,2011,5,3
Connecticut,Kentucky,Connecticut,2011,3,4
Virginia Commonwealth,Butler,Butler,2011,11,8
Connecticut,Butler,Connecticut,2011,3,8
North Carolina,Vermont,North Carolina,2012,1,16
Creighton,Alabama,Creighton,2012,8,9
Temple,South Florida,South Florida,2012,5,12
Michigan,Ohio,Ohio,2012,4,13
San Diego State,North Carolina State,North Carolina State,2012,6,11
Georgetown,Belmont,Georgetown,2012,3,14
Saint Mary's (CA),Purdue,Purdue,2012,7,10
Kansas,Detroit Mercy,Kansas,2012,2,15
North Carolina,Creighton,North Carolina,2012,1,8
South Florida,Ohio,Ohio,2012,12,13
North Carolina State,Georgetown,North Carolina State,2012,11,3
Purdue,Kansas,Kansas,2012,10,2
North Carolina,Ohio,North Carolina,2012,1,13
North Carolina State,Kansas,Kansas,2012,11,2
North Carolina,Kansas,Kansas,2012,1,2
Kentucky,Western Kentucky,Kentucky,2012,1,16
Iowa State,Connecticut,Iowa State,2012,8,9
Wichita State,Virginia Commonwealth,Virginia Commonwealth,2012,5,12
Indiana,New Mexico State,Indiana,2012,4,13
Nevada-Las Vegas,Colorado,Colorado,2012,6,11
Baylor,South Dakota State,Baylor,2012,3,14
Notre Dame,Xavier,Xavier,2012,7,10
Duke,Lehigh,Lehigh,2012,2,15
Kentucky,Iowa State,Kentucky,2012,1,8
Virginia Commonwealth,Indiana,Indiana,2012,12,4
Colorado,Baylor,Baylor,2012,11,3
Xavier,Lehigh,Xavier,2012,10,15
Kentucky,Indiana,Kentucky,2012,1,4
Baylor,Xavier,Baylor,2012,3,10
Kentucky,Baylor,Kentucky,2012,1,3
Michigan State,Long Island University,Michigan State,2012,1,16
Memphis,Saint Louis,Saint Louis,2012,8,9
New Mexico,Long Beach State,New Mexico,2012,5,12
Louisville,Davidson,Louisville,2012,4,13
Murray State,Colorado State,Murray State,2012,6,11
Marquette,Brigham Young,Marquette,2012,3,14
Florida,Virginia,Florida,2012,7,10
Missouri,Norfolk State,Norfolk State,2012,2,15
Michigan State,Saint Louis,Michigan State,2012,1,9
New Mexico,Louisville,Louisville,2012,5,4
Murray State,Marquette,Marquette,2012,6,3
Florida,Norfolk State,Florida,2012,7,15
Michigan State,Louisville,Louisville,2012,1,4
Marquette,Florida,Florida,2012,3,7
Louisville,Florida,Louisville,2012,4,7
Syracuse,North Carolina-Asheville,Syracuse,2012,1,16
Kansas State,Southern Mississippi,Kansas State,2012,8,9
Vanderbilt,Harvard,Vanderbilt,2012,5,12
Wisconsin,Montana,Wisconsin,2012,4,13
Cincinnati,Texas,Cincinnati,2012,6,11
Florida State,St. Bonaventure,Florida State,2012,3,14
Gonzaga,West Virginia,Gonzaga,2012,7,10
Ohio State,Loyola (MD),Ohio State,2012,2,15
Syracuse,Kansas State,Syracuse,2012,1,8
Vanderbilt,Wisconsin,Wisconsin,2012,5,4
Cincinnati,Florida State,Cincinnati,2012,6,3
Gonzaga,Ohio State,Ohio State,2012,7,2
Syracuse,Wisconsin,Syracuse,2012,1,4
Cincinnati,Ohio State,Ohio State,2012,6,2
Syracuse,Ohio State,Ohio State,2012,1,2
Kentucky,Louisville,Kentucky,2012,1,4
Ohio State,Kansas,Kansas,2012,2,2
Kentucky,Kansas,Kentucky,2012,1,2
Indiana,James Madison,Indiana,2013,1,16
North Carolina State,Temple,Temple,2013,8,9
Nevada-Las Vegas,University of California,University of California,2013,5,12
Syracuse,Montana,Syracuse,2013,4,13
Butler,Bucknell,Butler,2013,6,11
Marquette,Davidson,Marquette,2013,3,14
Illinois,Colorado,Illinois,2013,7,10
Miami (FL),Pacific,Miami (FL),2013,2,15
Indiana,Temple,Indiana,2013,1,9
University of California,Syracuse,Syracuse,2013,12,4
Butler,Marquette,Marquette,2013,6,3
Illinois,Miami (FL),Miami (FL),2013,7,2
Indiana,Syracuse,Syracuse,2013,1,4
Marquette,Miami (FL),Marquette,2013,3,2
Syracuse,Marquette,Syracuse,2013,4,3
Louisville,North Carolina A&T,Louisville,2013,1,16
Colorado State,Missouri,Colorado State,2013,8,9
Oklahoma State,Oregon,Oregon,2013,5,12
Saint Louis,New Mexico State,Saint Louis,2013,4,13
Memphis,Saint Mary's (CA),Memphis,2013,6,11
Michigan State,Valparaiso,Michigan State,2013,3,14
Creighton,Cincinnati,Creighton,2013,7,10
Duke,Albany (NY),Duke,2013,2,15
Louisville,Colorado State,Louisville,2013,1,8
Oregon,Saint Louis,Oregon,2013,12,4
Memphis,Michigan State,Michigan State,2013,6,3
Creighton,Duke,Duke,2013,7,2
Louisville,Oregon,Louisville,2013,1,12
Michigan State,Duke,Duke,2013,3,2
Louisville,Duke,Louisville,2013,1,2
Gonzaga,Southern,Gonzaga,2013,1,16
Pittsburgh,Wichita State,Wichita State,2013,8,9
Wisconsin,Mississippi,Mississippi,2013,5,12
Kansas State,La Salle,La Salle,2013,4,13
Arizona,Belmont,Arizona,2013,6,11
New Mexico,Harvard,Harvard,2013,3,14
Notre Dame,Iowa State,Iowa State,2013,7,10
Ohio State,Iona,Ohio State,2013,2,15
Gonzaga,Wichita State,Wichita State,2013,1,9
Mississippi,La Salle,La Salle,2013,12,13
Arizona,Harvard,Arizona,2013,6,14
Iowa State,Ohio State,Ohio State,2013,10,2
Wichita State,La Salle,Wichita State,2013,9,13
Arizona,Ohio State,Ohio State,2013,6,2
Wichita State,Ohio State,Wichita State,2013,9,2
Kansas,Western Kentucky,Kansas,2013,1,16
North Carolina,Villanova,North Carolina,2013,8,9
Virginia Commonwealth,Akron,Virginia Commonwealth,2013,5,12
Michigan,South Dakota State,Michigan,2013,4,13
UCLA,Minnesota,Minnesota,2013,6,11
Florida,Northwestern State,Florida,2013,3,14
San Diego State,Oklahoma,San Diego State,2013,7,10
Georgetown,Florida Gulf Coast,Florida Gulf Coast,2013,2,15
Kansas,North Carolina,Kansas,2013,1,8
Virginia Commonwealth,Michigan,Michigan,2013,5,4
Minnesota,Florida,Florida,2013,11,3
San Diego State,Florida Gulf Coast,Florida Gulf Coast,2013,7,15
Kansas,Michigan,Michigan,2013,1,4
Florida,Florida Gulf Coast,Florida,2013,3,15
Michigan,Florida,Michigan,2013,4,3
Louisville,Wichita State,Louisville,2013,1,9
Syracuse,Michigan,Michigan,2013,4,4
Louisville,Michigan,Louisville,2013,1,4
Wichita State,Cal Poly,Wichita State,2014,1,16
Kentucky,Kansas State,Kentucky,2014,8,9
Saint Louis,North Carolina State,Saint Louis,2014,5,12
Louisville,Manhattan,Louisville,2014,4,13
